<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.08	00:00:00	1863.873	1875.208	1860.192	1870.053	77139	0	0
2020.12.09	00:00:00	1870.066	1870.427	1825.426	1834.328	93932	0	0
2020.12.10	00:00:00	1834.298	1849.949	1828.597	1836.638	88026	0	0
2020.12.11	00:00:00	1836.639	1847.615	1823.887	1839.550	75861	0	0
2020.12.13	00:00:00	1837.111	1837.993	1835.841	1837.892	1730	0	0
2020.12.14	00:00:00	1837.893	1838.956	1818.532	1827.373	73784	0	0
2020.12.15	00:00:00	1827.325	1855.250	1825.418	1852.296	76746	0	0
2020.12.16	00:00:00	1852.298	1865.631	1844.708	1864.442	91560	0	0
2020.12.17	00:00:00	1864.444	1896.101	1861.948	1883.607	88150	0	0
2020.12.18	00:00:00	1883.606	1889.580	1877.341	1881.271	80388	0	0
2020.12.20	00:00:00	1882.823	1884.935	1882.445	1883.035	1957	0	0
2020.12.21	00:00:00	1882.989	1906.667	1854.984	1879.018	130229	0	0
2020.12.22	00:00:00	1878.972	1884.196	1858.882	1864.211	94352	0	0
2020.12.23	00:00:00	1864.262	1878.493	1856.843	1872.517	87257	0	0
2020.12.24	00:00:00	1872.518	1880.507	1869.428	1879.016	57256	0	0
2020.12.27	00:00:00	1888.893	1889.770	1885.718	1888.248	2548	0	0
2020.12.28	00:00:00	1888.294	1900.127	1869.025	1876.696	92921	0	0
2020.12.29	00:00:00	1876.682	1886.313	1871.640	1878.690	76882	0	0
2020.12.30	00:00:00	1878.689	1895.329	1876.071	1894.947	72921	0	0
2020.12.31	00:00:00	1894.929	1900.290	1885.389	1894.387	63265	0	0
